Признак,Важность,Метод
Complains,0.22941291405713019,Встроенная важность
Status,0.12785247412780162,Встроенная важность
Seconds of Use,0.11522956458461911,Встроенная важность
Frequency of use,0.10376771640707305,Встроенная важность
Subscription  Length,0.10036441475948046,Встроенная важность
Customer Value,0.07823748228989878,Встроенная важность
Distinct Called Numbers,0.07030409015762804,Встроенная важность
Call  Failure,0.06126420801233733,Встроенная важность
Frequency of SMS,0.04637132480245351,Встроенная важность
Age,0.02748811668283868,Встроенная важность
Age Group,0.02304405375455473,Встроенная важность
Charge  Amount,0.015139806181674549,Встроенная важность
Tariff Plan,0.0015238341825100363,Встроенная важность
